timestamp,equity
2024-03-01 02:17:36.179000+00:00,100000.0170011
2024-03-01 07:55:26.015000+00:00,100000.05847255
2024-03-01 08:39:39.175000+00:00,100000.163998
2024-03-01 08:39:39.250000+00:00,100000.26952345
2024-03-01 08:39:39.975000+00:00,100000.3750489
2024-03-01 08:39:40.075000+00:00,100000.48057435
2024-03-01 08:39:40.108000+00:00,100000.5860998
2024-03-01 08:39:40.111000+00:00,100000.69162525
2024-03-01 08:39:40.175000+00:00,100000.7971507
2024-03-01 08:39:40.275000+00:00,100000.90267615
2024-03-01 08:39:40.375000+00:00,100001.0082016
2024-03-01 08:39:40.476000+00:00,100001.11372705
2024-03-01 08:39:40.572000+00:00,100001.2192525
2024-03-01 08:39:40.576000+00:00,100001.32477795
2024-03-01 08:39:40.589000+00:00,100001.4303034
2024-03-01 08:39:40.676000+00:00,100001.53582885
2024-03-01 08:39:40.876000+00:00,100001.6413543
2024-03-01 08:39:40.928000+00:00,100001.74687975
2024-03-01 08:39:40.951000+00:00,100001.8524052
2024-03-01 08:39:40.976000+00:00,100001.95793065
2024-03-01 08:39:41.076000+00:00,100002.0634561
2024-03-01 08:39:41.170000+00:00,100002.16898155
2024-03-01 08:39:41.176000+00:00,100002.274507
2024-03-01 08:39:41.216000+00:00,100002.38003245
2024-03-01 08:39:41.276000+00:00,100002.4855579
2024-03-01 08:39:41.376000+00:00,100002.70213885
2024-03-01 08:39:41.386000+00:00,100002.9187198
2024-03-01 08:39:41.776000+00:00,100003.13530075
2024-03-01 08:39:41.838000+00:00,100003.3518817
2024-03-01 08:39:41.841000+00:00,100003.56846265
2024-03-01 08:39:41.876000+00:00,100003.7850436
2024-03-01 08:39:41.976000+00:00,100004.00162455
2024-03-01 08:39:42.076000+00:00,100004.2182055
2024-03-01 08:39:42.136000+00:00,100004.43478645
2024-03-01 08:39:42.176000+00:00,100004.6513674
2024-03-01 08:39:42.276000+00:00,100004.88795835
2024-03-01 08:39:42.285000+00:00,100005.1245493
2024-03-01 08:39:42.376000+00:00,100005.36114025
2024-03-01 08:39:42.451000+00:00,100005.5977312
2024-03-01 08:39:42.476000+00:00,100005.83432215
2024-03-01 08:39:42.554000+00:00,100006.0709131
2024-03-01 08:39:42.576000+00:00,100006.30750405
2024-03-01 08:39:42.776000+00:00,100006.544095
2024-03-01 08:39:42.877000+00:00,100006.78068595
2024-03-01 08:39:43.077000+00:00,100007.01727689999
2024-03-01 08:39:43.123000+00:00,100007.25386785
2024-03-01 08:39:43.177000+00:00,100007.49045879999
2024-03-01 08:39:43.277000+00:00,100007.72704975
2024-03-01 08:39:43.297000+00:00,100007.96364069999
2024-03-01 08:39:43.330000+00:00,100008.20023165
2024-03-01 08:39:43.377000+00:00,100008.4368226
2024-03-01 08:39:43.477000+00:00,100008.67341355
2024-03-01 08:39:43.577000+00:00,100008.9100045
2024-03-01 08:39:43.677000+00:00,100009.14659545
2024-03-01 08:39:43.709000+00:00,100009.3831864
2024-03-01 08:39:43.731000+00:00,100009.61977735
2024-03-01 08:39:43.877000+00:00,100009.8563683
2024-03-01 08:39:43.977000+00:00,100010.09295925
2024-03-01 08:39:44.042000+00:00,100010.3295502
2024-03-01 08:39:44.047000+00:00,100010.56614115
2024-03-01 08:39:44.077000+00:00,100010.8027321
2024-03-01 08:39:44.177000+00:00,100011.03932304999
2024-03-01 08:39:44.183000+00:00,100011.275914
2024-03-01 08:39:44.277000+00:00,100011.51250494999
2024-03-01 08:39:44.296000+00:00,100011.7490959
2024-03-01 08:39:44.377000+00:00,100011.98568684999
2024-03-01 08:39:44.386000+00:00,100012.2222778
2024-03-01 08:39:44.477000+00:00,100012.45886874999
2024-03-01 08:39:44.577000+00:00,100012.6954597
2024-03-01 08:39:44.579000+00:00,100012.93205065
2024-03-01 08:39:45.478000+00:00,100013.1886516
2024-03-01 08:39:45.578000+00:00,100013.48527255
2024-03-01 08:39:45.678000+00:00,100013.7626839
2024-03-01 08:39:47.272000+00:00,100013.88771909999
