timestamp_ms,action,buy_venue,sell_venue,buy_price,sell_price,qty,fee,pnl_net,obi_delta,p_execute,expected_edge_at_signal,adverse_selection_cost,fill_time_mid_a,fill_time_mid_b,signal_time_mid_a,signal_time_mid_b,status,reason,buy_latency_ms,sell_latency_ms,buy_slippage,sell_slippage,regime_vol,regime_spread,split
1709259456179,BUY_A_SELL_B,binance,kraken,60888.58,60951.19999999999,0.01,0.6091989000000001,0.017001099999880642,-0.6871695129614799,0.8485084960383921,0.6162999999999739,-0.009899999999906872,60888.575,60951.25,60889.565,60951.25,filled,,87.24303263782407,29.01931025278251,0.9899999999979627,7.275957614183426e-12,low,tight,train
1709279726015,BUY_A_SELL_B,binance,kraken,61510.01,61575.7,0.01,0.61542855,0.04147144999995056,-0.6538952799518868,0.8485084960383921,0.6568999999999505,0.0,61510.005000000005,61575.75,61510.005000000005,61575.75,filled,,48.53421974227566,49.45749491011154,0.0,0.0,low,tight,train
1709282379175,BUY_A_SELL_B,binance,kraken,62101.11000000001,62173.8,0.01,0.6213745500000001,0.1055254499999505,-1.2279192279380986,0.8485084960383921,0.6269000000000233,-0.09999999999992726,62101.104999999996,62173.850000000006,62111.104999999996,62173.850000000006,filled,,33.742509790754255,26.4430445409873,9.999999999992724,0.0,low,tight,train
1709282379250,BUY_A_SELL_B,binance,kraken,62101.11000000001,62173.8,0.01,0.6213745500000001,0.1055254499999505,-1.2267765973400813,0.8485084960383921,0.6269000000000233,-0.09999999999992726,62101.104999999996,62173.850000000006,62111.104999999996,62173.850000000006,filled,,31.75924637523896,36.02418012609452,9.999999999992724,0.0,low,tight,train
1709282379975,BUY_A_SELL_B,binance,kraken,62101.11000000001,62173.8,0.01,0.6213745500000001,0.1055254499999505,-0.7105270119306153,0.8485084960383921,0.7269000000000233,7.271960811294775e-14,62101.104999999996,62173.850000000006,62101.104999999996,62173.850000000006,filled,,50.16944609986963,57.33534485565086,7.275957614183426e-12,0.0,low,tight,train
1709282380075,BUY_A_SELL_B,binance,kraken,62101.11000000001,62173.8,0.01,0.6213745500000001,0.1055254499999505,-0.7000931668010084,0.8485084960383921,0.7269000000000233,7.271960811294775e-14,62101.104999999996,62173.850000000006,62101.104999999996,62173.850000000006,filled,,37.91642161296205,30.502921640502777,7.275957614183426e-12,0.0,low,tight,train
1709282380108,BUY_A_SELL_B,binance,kraken,62101.11000000001,62173.8,0.01,0.6213745500000001,0.1055254499999505,-0.7157196197401209,0.8485084960383921,0.7269000000000233,7.271960811294775e-14,62101.104999999996,62173.850000000006,62101.104999999996,62173.850000000006,filled,,43.82587186153819,36.80282261709887,7.275957614183426e-12,0.0,low,tight,train
1709282380111,BUY_A_SELL_B,binance,kraken,62101.11000000001,62173.8,0.01,0.6213745500000001,0.1055254499999505,-0.6983618096086524,0.8485084960383921,0.7269000000000233,7.271960811294775e-14,62101.104999999996,62173.850000000006,62101.104999999996,62173.850000000006,filled,,38.74725215647936,43.50220200678497,7.275957614183426e-12,0.0,low,tight,train
1709282380175,BUY_A_SELL_B,binance,kraken,62101.11000000001,62173.8,0.01,0.6213745500000001,0.1055254499999505,-0.7056185301917539,0.8485084960383921,0.7269000000000233,7.271960811294775e-14,62101.104999999996,62173.850000000006,62101.104999999996,62173.850000000006,filled,,33.39553100963798,71.70383252775464,7.275957614183426e-12,0.0,low,tight,train
1709282380275,BUY_A_SELL_B,binance,kraken,62101.11000000001,62173.8,0.01,0.6213745500000001,0.1055254499999505,-0.7192718193574181,0.8485084960383921,0.7269000000000233,7.271960811294775e-14,62101.104999999996,62173.850000000006,62101.104999999996,62173.850000000006,filled,,49.164105624327995,78.77314862923507,7.275957614183426e-12,0.0,low,tight,train
